Order Qty (cases),List Type,SKU/MBLL Item Number,UPC/GTIN,Supplier,Brand,Type,Sub-Type,Description1,THC range,CBD range,Unit Vol/Size,Unit of Measure,Unit Price,Units Per Case,Case Price,Product Notifications
,CANNABIS AVAILABLE,34112,627965000274,TERRASCEND CANADA,HAVEN ST. PREMIUM,DRIED FLOWER,PRE-ROLLED,NO. 407 SAPPHIRE DAZE PR1X0.5G,160 - 230 mg/g,.002 - 10 mg/g,0.5,g,4.88,36,175.68, 
,CANNABIS CBD AVAILABLE,34195,688083001093,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,GEL CAPS,ARGYLE CAPSULE 15X.158ML,150 - 150 mg/unit,180 - 180 mg/unit,2.37,ml,22.26,24,534.24, 
,CANNABIS AVAILABLE,34198,688083001215,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,GEL CAPS,BAKERSTREET CAPSULE 15X.158ML,37.5 - 37.5 mg/unit,.001 - 1 mg/unit,2.37,ml,7.97,24,191.28, 
,CANNABIS AVAILABLE,34200,688083002656,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,INFUSED EDIBLE SPRAYS,HOUNDSTOOTH SPRAY,500 - 500 mg/unit,.001 - 1 mg/unit,20,ml,31.98,24,767.52, 
,CANNABIS AVAILABLE,34201,688083001550,CANOPY GROWTH CORPORATION,TWEED,EXTRACTS INGESTED,GEL CAPS,HOUNDSTOOTH CAPSULE 15X.158ML,150 - 150 mg/unit,.001 - 1 mg/unit,2.37,ml,22.26,24,534.24, 
,CANNABIS AVAILABLE,34286,672632000668,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,WHITE LIGHTNING,220 - 260 mg/g,.001 - .001 mg/g,1,g,8.99,48,431.52, 
,CANNABIS AVAILABLE,34288,672632000538,HIGHLAND GROW INC,HIGHLAND GROW,DRIED FLOWER,WHOLE BUD/FLOWER,SENSI WIZARD,230 - 260 mg/g,.001 - .001 mg/g,1,g,8.99,48,431.52, 
,CANNABIS AVAILABLE,34467,694144005832,APHRIA INC,GOOD SUPPLY,VAPE,CARTRIDGE 510,PURPLE MONKEY VAPE,340 - 460 mg/unit,.001 - 4.99 mg/unit,0.5,g,15.60,12,187.2, 
,CANNABIS AVAILABLE,34470,694144007195,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,WHOLE BUD/FLOWER,JEAN GUY,5.7143 - 9.2857 mg/g,0 - .3536 mg/g,28,g,74.74,12,896.88, 
,CANNABIS AVAILABLE,34471,694144007256,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,WHOLE BUD/FLOWER,MONKEY GLUE,4.2857 - 7.8571 mg/g,0 - .3536 mg/g,28,g,74.74,12,896.88, 
,CANNABIS AVAILABLE,34555,841432010133,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,SPINACH BLUE DREAM,180 - 260 mg/g,.0003 - 10 mg/g,3.5,g,22.38,24,537.12, 
,CANNABIS AVAILABLE,34557,841432012120,PEACE NATURALS INC,SPINACH,DRIED FLOWER,PRE-ROLLED,SPINACH BLUE DREAM PR3X0.5G,160 - 240 mg/g,.0007 - 10 mg/g,1.5,g,7.46,24,179.04, 
,CANNABIS AVAILABLE,34560,841432010102,PEACE NATURALS INC,SPINACH,DRIED FLOWER,WHOLE BUD/FLOWER,SPINACH BLUEBERRY,180 - 260 mg/g,.0003 - 10 mg/g,3.5,g,22.38,24,537.12, 
,CANNABIS AVAILABLE,34563,841432012083,PEACE NATURALS INC,SPINACH,DRIED FLOWER,PRE-ROLLED,SPINACH BLUEBERRY PR1X1G,160 - 240 mg/g,.001 - 5 mg/g,1,g,5.88,24,141.12, 
,CANNABIS AVAILABLE,34770,671148401327,ORGANIGRAM INC,EDISON,DRIED FLOWER,WHOLE BUD/FLOWER,LIMELIGHT,180 - 250 mg/g,.0001 - .7 mg/g,7,g,42.23,12,506.76, 
,CANNABIS AVAILABLE,34792,628242900720,WE GROW BC LTD,QWEST RESERVE,DRIED FLOWER,WHOLE BUD/FLOWER,POINT BREAK,220 - 280 mg/g,.0003 - 28.5714 mg/g,3.5,g,27.50,12,330, 
,CANNABIS AVAILABLE,34795,628242050685,UNITED GREENERIES LTD,18TWELVE,DRIED FLOWER,WHOLE BUD/FLOWER,8 BALL KUSH,220 - 320 mg/g,.0003 - 10 mg/g,3.5,g,27.83,24,667.92, 
,CANNABIS AVAILABLE,34854,827912000573,7ACRES,7ACRES,DRIED FLOWER,PRE-ROLLED,JEAN GUY 2X0.5G,150 - 210 mg/g,.001 - .1 mg/g,1,g,8.72,24,209.28, 
,CANNABIS AVAILABLE,34856,827912000597,7ACRES,7ACRES,DRIED FLOWER,PRE-ROLLED,WHITE WIDOW 2X0.5G,140 - 220 mg/g,.001 - .1 mg/g,1,g,8.72,24,209.28, 
,CANNABIS CBD AVAILABLE,34895,827885005575,SUNDIAL GROWERS,SUNDIAL,VAPE,CARTRIDGE 510,CBD 2:1 510 CART,110 - 140 mg/unit,275 - 290 mg/unit,0.5,ml,20.85,12,250.2, 
,CANNABIS CBD AVAILABLE,35088,628188000300,PURE SUNFARMS CORP,PURE SUN FARMS,DRIED FLOWER,WHOLE BUD/FLOWER,PURE SUN CBD,.0003 - 10 mg/g,140 - 200 mg/g,3.5,g,14.70,24,352.8, 
,CANNABIS AVAILABLE,35096,628582001491,AURORA CANNABIS ENTERPRISES (VANCOU,SAN RAFAEL '71,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,PINEAPPLE GUMMIES 4X4.25G,10 - 10 mg/unit,.001 - 1.2 mg/unit,17,g,4.29,12,51.48, 
,CANNABIS AVAILABLE,35097,629108178147,AURORA CANNABIS ENTERPRISES (VANCOU,AURORA DRIFT,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,GRAPE GUMMIES 4X4.25G,10 - 10 mg/unit,.001 - 1.2 mg/unit,17,g,3.69,12,44.28, 
,CANNABIS AVAILABLE,35098,629108179144,AURORA CANNABIS ENTERPRISES (VANCOU,AURORA DRIFT,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,RASPBERRY GUMMIES 4X4.25G,10 - 10 mg/unit,.001 - 1.2 mg/unit,17,g,3.69,12,44.28, 
,CANNABIS AVAILABLE,35104,688083003967,CANOPY GROWTH CORPORATION,TWD. 28,DRIED FLOWER,WHOLE BUD/FLOWER,TWD.28 INDICA,170 - 230 mg/g,0 - 10 mg/g,28,g,73.69,6,442.14, 
,CANNABIS AVAILABLE,35105,688083003950,CANOPY GROWTH CORPORATION,TWD. 28,DRIED FLOWER,WHOLE BUD/FLOWER,TWD.28 SATIVA,170 - 230 mg/g,0 - 10 mg/g,28,g,73.69,6,442.14, 
,CANNABIS CBD AVAILABLE,35114,627560080602,ZENABIS LTD,NAMASTE,DRIED FLOWER,PRE-ROLLED,DURGA MATA 2 PR3X0.5G,30 - 80 mg/g,60 - 130 mg/g,1.5,g,10.90,24,261.6, 
,CANNABIS AVAILABLE,35136,628504385067,BREATHING GREEN SOLUTIONS INC,SKOSHA,DRIED FLOWER,PRE-ROLLED,LEMON DORY PR3X0.5G,100 - 120 mg/g,.6667 - 6.6667 mg/g,1.5,g,13.90,24,333.6, 
,CANNABIS AVAILABLE,35137,628504385081,BREATHING GREEN SOLUTIONS INC,SKOSHA,DRIED FLOWER,WHOLE BUD/FLOWER,LEMON DORY,42.8571 - 51.4286 mg/g,.2857 - 2.8571 mg/g,3.5,g,27.62,24,662.88, 
,CANNABIS AVAILABLE,35145,628504385371,BREATHING GREEN SOLUTIONS INC,SKOSHA,DRIED FLOWER,WHOLE BUD/FLOWER,MIRAGE PLUS,200 - 250 mg/g,.3 - 10 mg/g,1,g,10.15,24,243.6, 
,CANNABIS AVAILABLE,35146,628504385388,BREATHING GREEN SOLUTIONS INC,SKOSHA,DRIED FLOWER,WHOLE BUD/FLOWER,MIRAGE PLUS,28.5714 - 35.7143 mg/g,.0429 - 1.4286 mg/g,7,g,64.62,12,775.44, 
,CANNABIS AVAILABLE,35241,628188000126,PURE SUNFARMS CORP,PURE SUN FARMS,DRIED FLOWER,WHOLE BUD/FLOWER,PINK KUSH,180 - 230 mg/g,.0003 - 10 mg/g,3.5,g,14.70,24,352.8, 
,CANNABIS AVAILABLE,35242,628188000133,PURE SUNFARMS CORP,PURE SUN FARMS,DRIED FLOWER,WHOLE BUD/FLOWER,PINK KUSH,180 - 230 mg/g,.0001 - 10 mg/g,7,g,27.05,12,324.6, 
,CANNABIS AVAILABLE,35243,628188000775,PURE SUNFARMS CORP,PURE SUN FARMS,DRIED FLOWER,WHOLE BUD/FLOWER,D. BUBBA,170 - 230 mg/g,.0003 - 10 mg/g,3.5,g,14.70,24,352.8, 
,CANNABIS AVAILABLE,35244,628188000782,PURE SUNFARMS CORP,PURE SUN FARMS,DRIED FLOWER,WHOLE BUD/FLOWER,D. BUBBA,170 - 230 mg/g,.0001 - 10 mg/g,7,g,27.05,12,324.6, 
,CANNABIS AVAILABLE,35253,695275000642,TANTALUS LABS,TANTALUS LABS,EXTRACTS INHALED,KIEF,DRY SIFT HASH,350 - 420 mg/unit,.001 - .1 mg/unit,1,g,20.87,6,125.22, 
,CANNABIS AVAILABLE,35259,628242050678,UNITED GREENERIES LTD,18TWELVE,DRIED FLOWER,PRE-ROLLED,18TWELVE PR 2X0.5G,203 - 267 mg/g,.001 - 10 mg/g,1,g,9.27,48,444.96, 
,CANNABIS AVAILABLE,35339,627560080404,ZENABIS LTD,NAMASTE,DRIED FLOWER,PRE-ROLLED,ULTRA SOUR PR3X0.5G,130 - 200 mg/g,.0007 - 6.6667 mg/g,1.5,g,10.90,24,261.6, 
,CANNABIS AVAILABLE,35355,842360000265,VOYAGE CANNABIS CORP,PURA VIDA,EXTRACTS INGESTED,INFUSED EDIBLE OILS,DAYBREAK SATIVA HONEY OIL DROP,479.5 - 564 mg/unit,1 - 1 mg/unit,30,ml,18.58,12,222.96, 
,CANNABIS AVAILABLE,35356,842360000258,VOYAGE CANNABIS CORP,PURA VIDA,EXTRACTS INGESTED,INFUSED EDIBLE OILS,NIGHTFALL INDICA HONEY OILDROP,479.5 - 564 mg/unit,1 - 1 mg/unit,30,ml,18.58,12,222.96, 
,CANNABIS AVAILABLE,35358,842360000296,VOYAGE CANNABIS CORP,PURAFARMA,EXTRACTS INGESTED,INFUSED EDIBLE OILS,15:15 BALANCE,348 - 409.5 mg/unit,348 - 409.5 mg/unit,30,ml,24.36,12,292.32, 
,CANNABIS CBD AVAILABLE,35359,842360000289,VOYAGE CANNABIS CORP,PURAFARMA,EXTRACTS INGESTED,INFUSED EDIBLE OILS,HEMPLIXIR 30,34.8 - 40.95 mg/unit,704 - 828 mg/unit,30,ml,25.10,12,301.2, 
,CANNABIS CBD AVAILABLE,35363,842360000036,VOYAGE CANNABIS CORP,PURA VIDA,VAPE,CARTRIDGE 510,CBD 4:1 HONEY OIL,63.75 - 75 mg/unit,255 - 300 mg/unit,0.5,ml,19.19,12,230.28, 
,CANNABIS AVAILABLE,35365,842360000302,VOYAGE CANNABIS CORP,PURAFARMA,VAPE,CARTRIDGE 510,INDICA MOON,319 - 375 mg/unit,42.1 - 49.5 mg/unit,0.5,ml,13.05,12,156.6, 
,CANNABIS AVAILABLE,35366,842360000197,VOYAGE CANNABIS CORP,PURAFARMA,VAPE,CARTRIDGE 510,SATIVA SUN,319 - 375 mg/unit,42.1 - 49.5 mg/unit,0.5,ml,13.05,12,156.6, 
,CANNABIS AVAILABLE,35450,688318000075,RUBICON HOLDINGS CORP,SIMPLY BARE,DRIED FLOWER,PRE-ROLLED,BC ORGANIC BLUE DREAM PR3X0.5G,180 - 240 mg/g,.0667 - 10 mg/g,1.5,g,16.66,24,399.84, 
,CANNABIS AVAILABLE,35649,827912000771,7ACRES,SUGAR LEAF,DRIED FLOWER,PRE-ROLLED,ROLLED JEAN GUY PR3X0.5G,100 - 160 mg/g,.0667 - .6667 mg/g,1.5,g,9.13,24,219.12, 
,CANNABIS AVAILABLE,35650,827912000665,7ACRES,SUGAR LEAF,DRIED FLOWER,PRE-ROLLED,ROLLED SENSI STAR PR3X0.5G,110 - 170 mg/g,.0667 - .6667 mg/g,1.5,g,9.13,24,219.12, 
,CANNABIS AVAILABLE,35651,827912000672,7ACRES,SUGAR LEAF,DRIED FLOWER,PRE-ROLLED,ROLLED WHITE WIDOW PR3X0.5G,90 - 160 mg/g,.0667 - .6667 mg/g,1.5,g,9.13,24,219.12, 
,CANNABIS AVAILABLE,35652,827912000764,7ACRES,SUGAR LEAF,DRIED FLOWER,PRE-ROLLED,ROLLED JACK HAZE PR3X0.5G,120 - 180 mg/g,.0667 - .6667 mg/g,1.5,g,9.13,24,219.12, 
,CANNABIS AVAILABLE,35674,800447000577,INDIVA INC,WANA,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,MANGO SATIVA SOUR 2X4.5G,10 - 10 mg/unit,.001 - .001 mg/unit,9,g,4.79,24,114.96, 
,CANNABIS AVAILABLE,35675,800447000614,INDIVA INC,WANA,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,WATERMELON HYBRID SOUR 2X4.5G,10 - 10 mg/unit,.001 - .001 mg/unit,9,g,4.79,24,114.96, 
,CANNABIS AVAILABLE,35676,800447000607,INDIVA INC,WANA,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,STRAWBERRY LEMONADE 1:1 2X4.5G,10 - 10 mg/unit,10 - 10 mg/unit,9,g,4.79,24,114.96, 
,CANNABIS AVAILABLE,35679,827763000487,THE GREEN ORGANIC DUTCHMAN,HIGHLY DUTCH ORGANIC,DRIED FLOWER,WHOLE BUD/FLOWER,ROTTERDAM INDICA,250 - 350 mg/g,0 - 10 mg/g,28,g,88.39,6,530.34,THC CBD CHANGE
,CANNABIS AVAILABLE,35680,827763000272,THE GREEN ORGANIC DUTCHMAN,HIGHLY DUTCH ORGANIC,DRIED FLOWER,WHOLE BUD/FLOWER,AMSTERDAM SATIVA,250 - 320 mg/g,0 - 10 mg/g,28,g,88.39,6,530.34, 
,CANNABIS AVAILABLE,35703,694144007690,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,PRE-ROLLED,JEAN GUY PR7X0.5G,160 - 260 mg/g,.0003 - 10 mg/g,3.5,g,16.25,24,390, 
,CANNABIS AVAILABLE,35707,694144007652,APHRIA INC,RIFF,DRIED FLOWER,PRE-ROLLED,SUBWAY SCIENTIST PR7X0.5G,160 - 260 mg/g,.0003 - 10 mg/g,3.5,g,20.79,24,498.96, 
,CANNABIS AVAILABLE,35730,694144008574,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,WHOLE BUD/FLOWER,SOUR KUSH,150 - 250 mg/g,0 - 9.9 mg/g,28,g,74.74,12,896.88, 
,CANNABIS AVAILABLE,35735,694144007218,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,WHOLE BUD/FLOWER,JEAN GUY,160 - 260 mg/g,.0067 - 9.9 mg/g,15,g,42.25,12,507, 
,CANNABIS CBD AVAILABLE,35946,628341031349,CANNMART INC,APOTHECARY BOTANICALS,TOPICAL PRODUCTS,BALMS/CREAMS,APOTHECARY 3:1 ROLL ON,60 - 60 mg/unit,200 - 200 mg/unit,88,ml,23.38,12,280.56, 
,CANNABIS AVAILABLE,35963,827912000948,7ACRES,HIWAY,DRIED FLOWER,WHOLE BUD/FLOWER,AAA HYBRID II,140 - 180 mg/g,.0001 - .0714 mg/g,14,g,46.24,12,554.88, 
,CANNABIS AVAILABLE,35968,628250744880,AGMEDICA BIOSCIENCE INC,FIVE FOUNDERS,DRIED FLOWER,PRE-ROLLED,THC BLEND PR5X0.5G,150 - 200 mg/g,10 - 10 mg/g,2.5,g,10.34,24,248.16, 
,CANNABIS AVAILABLE,35970,671148301009,ORGANIGRAM INC,SHRED,DRIED FLOWER,MILLED/BLENDED,TROPIC THUNDER,180 - 240 mg/g,.0001 - .0014 mg/g,7,g,25.78,12,309.36, 
,CANNABIS AVAILABLE,35974,842833000037,JC GREEN CANNABIS INC,JONNY CHRONIC,DRIED FLOWER,WHOLE BUD/FLOWER,CHERRY BOMB,185 - 245 mg/g,.0003 - .0003 mg/g,3.5,g,27.39,24,657.36, 
,CANNABIS AVAILABLE,36051,841117000220,BEEHIGH VITAL ELEMENTS INC,BEEHIGHVE,DRIED FLOWER,WHOLE BUD/FLOWER,CAPTAIN COOKED,143 - 210 mg/g,.0001 - .7 mg/g,7,g,58.04,10,580.4, 
,CANNABIS AVAILABLE,36106,841117000213,BEEHIGH VITAL ELEMENTS INC,BEEHIGHVE,DRIED FLOWER,WHOLE BUD/FLOWER,CAPTAIN COOKED,143 - 210 mg/g,.0003 - .7 mg/g,3.5,g,31.20,10,312, 
,CANNABIS AVAILABLE,36207,827885007661,SUNDIAL GROWERS,SUNDIAL,DRIED FLOWER,PRE-ROLLED,STRAWBERRY TWIST  PR3X0.5G,200 - 220 mg/g,.0007 - 3.3333 mg/g,1.5,g,11.43,12,137.16, 
,CANNABIS AVAILABLE,36214,827885007524,SUNDIAL GROWERS,TOP LEAF,DRIED FLOWER,PRE-ROLLED,BUBBA PR3X0.5G,200 - 260 mg/g,.0007 - 3.3333 mg/g,1.5,g,15.23,12,182.76, 
,CANNABIS AVAILABLE,36216,827885007548,SUNDIAL GROWERS,TOP LEAF,DRIED FLOWER,PRE-ROLLED,OREGON GOLDEN GOAT PR3X0.5G,200 - 260 mg/g,.0007 - 3.3333 mg/g,1.5,g,15.23,12,182.76, 
,CANNABIS AVAILABLE,36218,827885008286,SUNDIAL GROWERS,TOP LEAF,DRIED FLOWER,PRE-ROLLED,PURPLE CLEMENTINE PR3X0.5G,200 - 220 mg/g,.0007 - 3.3333 mg/g,1.5,g,15.23,12,182.76, 
,CANNABIS AVAILABLE,36220,827885003571,SUNDIAL GROWERS,GRASSLANDS,DRIED FLOWER,WHOLE BUD/FLOWER,GRASSLANDS SATIVA,140 - 200 mg/g,0 - 5 mg/g,28,g,63.50,4,254, 
,CANNABIS AVAILABLE,36221,827885003502,SUNDIAL GROWERS,GRASSLANDS,DRIED FLOWER,WHOLE BUD/FLOWER,GRASSLANDS INDICA,140 - 200 mg/g,0 - 5 mg/g,28,g,63.50,4,254, 
,CANNABIS AVAILABLE,36241,826966012181,APHRIA INC,THE BATCH,DRIED FLOWER,WHOLE BUD/FLOWER,ONE OUNCE,190 - 250 mg/g,0 - 10 mg/g,28,g,65.00,12,780, 
,CANNABIS AVAILABLE,36251,685960002396,NATURAL MEDCO LTD,EVE & CO.,TOPICAL PRODUCTS,BATH BOMBS/SALTS,THE DREAMER BATH BOMB,100 - 100 mg/unit,100 - 100 mg/unit,140,g,11.45,12,137.4, 
,CANNABIS AVAILABLE,36276,809582001234,ZENABIS LTD,RE-UP,DRIED FLOWER,WHOLE BUD/FLOWER,INDICA,160 - 210 mg/g,0 - 10 mg/g,28,g,93.05,6,558.3, 
,CANNABIS AVAILABLE,36373,628504701287,ALBERTA CRAFT CANNABIS INC,TENZO,DRIED FLOWER,WHOLE BUD/FLOWER,WEDDING CRASHER,170 - 230 mg/g,.0003 - 10 mg/g,3.5,g,18.12,24,434.88, 
,CANNABIS AVAILABLE,36393,628242320023,APHRIA INC,BROKEN COAST,DRIED FLOWER,WHOLE BUD/FLOWER,RUXTON,170 - 230 mg/g,.0003 - 19.9 mg/g,3.5,g,27.29,12,327.48, 
,CANNABIS AVAILABLE,36398,694144008253,APHRIA INC,GOOD SUPPLY,EXTRACTS INHALED,KIEF,JEAN GUY,272 - 368 mg/unit,.001 - 3.99 mg/unit,1,g,14.49,12,173.88, 
,CANNABIS AVAILABLE,36399,694144008277,APHRIA INC,GOOD SUPPLY,EXTRACTS INHALED,KIEF,SOUR KUSH,272 - 368 mg/unit,.001 - 3.99 mg/unit,1,g,14.49,12,173.88, 
,CANNABIS CBD AVAILABLE,36402,800447000621,INDIVA INC,WANA,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,JAPANESE CITRUS YUZU 2:1,10 - 10 mg/unit,20 - 20 mg/unit,9,g,4.79,24,114.96, 
,CANNABIS AVAILABLE,36404,800447000584,INDIVA INC,WANA,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,BLUEBERRY INDICA,10 - 10 mg/unit,.001 - .001 mg/unit,9,g,4.79,24,114.96, 
,CANNABIS CBD AVAILABLE,36405,800447000560,INDIVA INC,WANA,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,POMEGRANATE BLUEBERRY ACAI,10 - 10 mg/unit,50 - 50 mg/unit,9,g,4.79,24,114.96, 
,CANNABIS CBD AVAILABLE,36406,800447000591,INDIVA INC,WANA,EDIBLES-CANDY/CHOCOLATE/CONFEC,CANDIES-GEL,STRAWBERRY 10:1,2 - 2 mg/unit,20 - 20 mg/unit,9,g,4.73,24,113.52, 
,CANNABIS AVAILABLE,36457,697238113192,HEXO OPERATIONS INC,ORIGINAL STASH,DRIED FLOWER,WHOLE BUD/FLOWER,OS INDICA,140 - 200 mg/g,0 - 10 mg/g,28,g,62.94,12,755.28, 
,CANNABIS AVAILABLE,36458,697238113161,HEXO OPERATIONS INC,ORIGINAL STASH,DRIED FLOWER,WHOLE BUD/FLOWER,OS SATIVA,140 - 200 mg/g,0 - 10 mg/g,28,g,62.94,12,755.28, 
,CANNABIS AVAILABLE,36480,697238112300,HEXO OPERATIONS INC,ORIGINAL STASH,EXTRACTS INHALED,CONCENTRATE IN DISPENSER,OS KLIK DURBAN,700 - 911 mg/unit,.001 - .001 mg/unit,17.3,g,30.76,12,369.12, 
,CANNABIS AVAILABLE,36481,697238112317,HEXO OPERATIONS INC,ORIGINAL STASH,EXTRACTS INHALED,CONCENTRATE IN DISPENSER,OS KLIK BLUE DREAM,700 - 911 mg/unit,.001 - .001 mg/unit,17.3,g,30.76,12,369.12, 
,CANNABIS AVAILABLE,36553,00826966012228,APHRIA INC,THE BATCH,EXTRACTS INHALED,HASH,DRY SHIFT HASH,620 - 720 mg/unit,.001 - 20 mg/unit,2,g,19.49,12,233.88, 
,CANNABIS AVAILABLE,36555,827885008491,SUNDIAL GROWERS,GRASSLANDS,EXTRACTS INHALED,ROSIN,SATIVA ROSIN,500 - 580 mg/unit,1 - 10 mg/unit,1,g,41.04,12,492.48, 
,CANNABIS AVAILABLE,36556,827885008507,SUNDIAL GROWERS,GRASSLANDS,EXTRACTS INHALED,ROSIN,INDICA ROSIN,500 - 580 mg/unit,1 - 10 mg/unit,1,g,41.04,12,492.48, 
,CANNABIS AVAILABLE,36567,827885008545,SUNDIAL GROWERS,TOP LEAF,EXTRACTS INHALED,BUBBLE HASH,OREGON GOLDEN GOAT BUBBLE HASH,600 - 660 mg/unit,1 - 10 mg/unit,1,g,34.71,12,416.52, 
,CANNABIS AVAILABLE,36568,827885008033,SUNDIAL GROWERS,GRASSLANDS,VAPE,CARTRIDGE 510,INDICA 510 VAPE CART,700 - 760 mg/unit,1 - 10 mg/unit,1,g,25.99,12,311.88, 
,CANNABIS AVAILABLE,36569,827885008040,SUNDIAL GROWERS,GRASSLANDS,VAPE,CARTRIDGE 510,SATIVA 510 VAPE CART,700 - 760 mg/unit,1 - 10 mg/unit,1,g,25.99,12,311.88, 
,CANNABIS AVAILABLE,36621,628242320153,APHRIA INC,BROKEN COAST,DRIED FLOWER,WHOLE BUD/FLOWER,GABRIOLA,170 - 210 mg/g,.0003 - 19.9 mg/g,3.5,g,22.74,12,272.88, 
,CANNABIS AVAILABLE,36634,694144008659,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,WHOLE BUD/FLOWER,STARWALKER,180 - 240 mg/g,.0067 - 9.9 mg/g,15,g,42.25,12,507, 
,CANNABIS AVAILABLE,36636,694144008710,APHRIA INC,GOOD SUPPLY,DRIED FLOWER,WHOLE BUD/FLOWER,STARWALKER,180 - 240 mg/g,0 - 9.9 mg/g,28,g,74.74,12,896.88, 
,CANNABIS AVAILABLE,36638,694144008178,APHRIA INC,SOLEI,TOPICAL PRODUCTS,BALMS/CREAMS,UNPLUG CREAM,318.75 - 431.25 mg/unit,106.25 - 143.75 mg/unit,75,g,26.45,6,158.7, 
,CANNABIS CBD AVAILABLE,36641,694144008239,APHRIA INC,SOLEI,TOPICAL PRODUCTS,BALMS/CREAMS,FREE - UNSCENTED CREAM,.001 - 74.99 mg/unit,425 - 575 mg/unit,75,g,25.99,6,155.94, 
,CANNABIS AVAILABLE,36642,628639000507,MEDIPHARM LABS INC,ACE VALLEY,VAPE,CARTRIDGE 510,SATIVA VAPE CART,306 - 414 mg/unit,.001 - .5 mg/unit,0.45,ml,30.63,12,367.56, 
,CANNABIS AVAILABLE,36643,628639000514,MEDIPHARM LABS INC,ACE VALLEY,VAPE,CARTRIDGE 510,INDICA VAPE CART,306 - 414 mg/unit,.001 - .5 mg/unit,0.45,ml,30.63,12,367.56, 
,CANNABIS CBD AVAILABLE,36644,628639000521,MEDIPHARM LABS INC,ACE VALLEY,VAPE,CARTRIDGE 510,CBD VAPE CART,108.63 - 163.5875 mg/unit,200.43 - 327.175 mg/unit,0.45,ml,28.59,12,343.08, 
,CANNABIS AVAILABLE,36695,628242320054,APHRIA INC,BROKEN COAST,DRIED FLOWER,WHOLE BUD/FLOWER,QUADRA,150 - 210 mg/g,.0003 - 19.9 mg/g,3.5,g,27.29,12,327.48, 
,CANNABIS AVAILABLE,36696,628242320085,APHRIA INC,BROKEN COAST,DRIED FLOWER,WHOLE BUD/FLOWER,GALIANO,150 - 210 mg/g,.0003 - 19.9 mg/g,3.5,g,22.74,12,272.88, 
,CANNABIS CBD AVAILABLE,36709,842360000067,VOYAGE CANNABIS CORP,PURA VIDA,EXTRACTS INGESTED,INFUSED EDIBLE OILS,CBD OIL DROPS,28.2 - 32.43 mg/unit,479.5 - 564 mg/unit,30,ml,14.37,12,172.44, 
,CANNABIS AVAILABLE,36710,842360000029,VOYAGE CANNABIS CORP,PURA VIDA,VAPE,CARTRIDGE 510,INDICA HONEY OIL,319 - 375 mg/unit,42.1 - 49.5 mg/unit,0.5,ml,18.82,12,225.84, 
,CANNABIS AVAILABLE,36711,842360000005,VOYAGE CANNABIS CORP,PURA VIDA,VAPE,CARTRIDGE 510,HYBRID HONEY OIL,319 - 375 mg/unit,42.1 - 49.5 mg/unit,0.5,ml,18.82,12,225.84, 
,CANNABIS AVAILABLE,36712,842360000012,VOYAGE CANNABIS CORP,PURA VIDA,VAPE,CARTRIDGE 510,SATIVA HONEY OIL,319 - 375 mg/unit,42.1 - 49.5 mg/unit,0.5,ml,18.82,12,225.84, 
,CANNABIS CBD AVAILABLE,36713,842360000319,VOYAGE CANNABIS CORP,PURAFARMA,VAPE,CARTRIDGE 510,CBD EARTH,17 - 20 mg/unit,319 - 375 mg/unit,0.5,ml,19.03,12,228.36, 
,CANNABIS AVAILABLE,36718,627965002254,TERRASCEND CANADA,LEGEND,VAPE,CARTRIDGE 510,SUPER SOUR DIESEL VAPE,680 - 920 mg/unit,.001 - 60 mg/unit,1,ml,38.97,12,467.64, 
,CANNABIS AVAILABLE,36719,627965002247,TERRASCEND CANADA,LEGEND,VAPE,CARTRIDGE 510,BUBBA KUSH VAPE,680 - 920 mg/unit,.001 - 60 mg/unit,1,ml,38.97,12,467.64, 
,CANNABIS AVAILABLE,36724,694144009533,APHRIA INC,GOOD SUPPLY,VAPE,CARTRIDGE 510,PINEAPPLE EXPRESS VAPE,680 - 920 mg/unit,.001 - 9.99 mg/unit,1,ml,22.75,12,273, 
